dpe_classe,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,longitude,latitude,source_type
C,49,43.9,NA,appartement,69,69008,844363.05,6516619.71,Neuf
C,48,43.9,NA,appartement,69,69008,844363.05,6516619.71,Neuf
C,52.2,48.2,NA,appartement,69,69008,844363.05,6516619.71,Neuf
C,49.8,44,NA,appartement,69,69008,844363.05,6516619.71,Neuf
E,139,32.8,NA,appartement,69,69008,845703.02,6515552.1,Neuf
C,56.8,64.5,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,54.1,58.4,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,70,69.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,74.2,49.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,80.7,50.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,72.4,50.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,56.4,69.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,75.8,70.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,68,50.4,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,56.3,63.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,59.1,46.4,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,63.5,64.5,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,57,64,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,59.9,46.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,59.2,46.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,66.6,69.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,56.4,58.6,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,68.1,46.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,65.2,88.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,58.9,58.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,83.6,39.5,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,57.1,70.8,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,54.9,59.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,56.6,69.4,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,97,39.6,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,78.2,88.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,51.3,82.4,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,51.2,83,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,63.4,70,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,60.3,98.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,63.2,57.6,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,60.4,58.8,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,72.2,84,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,57.3,69.6,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,60,64.5,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,59.7,58.4,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,55.1,58.8,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,54.8,59,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,66.6,75.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
E,139,32.8,NA,appartement,69,69008,845703.02,6515552.1,Neuf
C,67.9,40.8,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,57,64.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,75.7,42,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,58.6,63,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,74.6,77.6,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,84.1,42.1,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,80.8,42,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,73.4,2242.7,NA,immeuble,69,69008,844533.36,6516710.92,Neuf
C,72.1,42,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,71.4,38.1,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,76.5,42.7,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,76.5,60.3,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,78.2,44.2,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,65,63.3,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,57.9,63.3,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,78.4,92.8,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,65.8,63,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,75.7,89.9,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,79,60.3,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,64.9,60.7,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,68.6,100.2,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,73.9,60.4,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,107,NA,NA,immeuble,69,69008,846157.48,6516855.34,Neuf
C,66.2,63,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,119,NA,NA,immeuble,69,69008,846157.48,6516855.34,Neuf
C,79.6,42,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,58.6,63,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,59.9,63.3,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,57.9,63.3,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,80.3,68.5,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,73.1,44.2,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,72.6,60.3,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,75.7,42,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,114,NA,NA,immeuble,69,69008,846157.48,6516855.34,Neuf
C,80.6,60.4,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,77,126.1,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,77.8,90.8,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,68.4,38.1,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,79.9,42.7,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,74.9,42,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,93.9,66.5,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,76.5,42.7,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,73.2,44,NA,appartement,69,69008,844533.36,6516710.92,Neuf
D,102.7,32,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,76,22.9,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,77.2,22.9,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,76,22.9,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,59,43.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,78.2,22.8,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,52.8,86.8,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,80.6,63.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,57.1,86.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55.1,83,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,62.8,63.4,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,70.4,60.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,62.8,63.4,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,67.9,63.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,91.8,78.1,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,71,42,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,70,76.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,79.5,100.5,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,68.7,63.4,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,70.4,60.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55.1,83,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,60.5,82.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55.9,42.8,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,76.4,60,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,60.9,83,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55,27.1,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,56.2,39.2,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,83.4,48,NA,appartement,69,69008,846040,6515463.13,Neuf
C,78.1,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,53.2,79.4,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,62,46.7,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,84.8,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,80.4,110.8,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,63.3,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,79.3,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,81.5,40.5,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,53.2,79.4,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,58.2,920.1,NA,immeuble,69,69008,844077.28,6516486.14,Neuf
C,78.1,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,60.5,47,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,54.6,100.8,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,54,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,54,62.9,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,64.3,102.8,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,54.3,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
